EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
88	09:22:06	4	0.0010	0.3438570270234197	0.9661	0.9661	0.9661	0.9661	0.773174524307251	0.8274	0.8274	0.8274	0.8274	0.12085212767124176	0.9588	0.9588	0.9588	0.9588
89	09:22:10	1	0.0005	0.31968179411660025	0.9664	0.9664	0.9664	0.9664	0.7732264399528503	0.8274	0.8274	0.8274	0.8274	0.12073680758476257	0.9588	0.9588	0.9588	0.9588
90	09:22:13	2	0.0005	0.32222305332609624	0.9664	0.9664	0.9664	0.9664	0.7732619643211365	0.8274	0.8274	0.8274	0.8274	0.12078778445720673	0.9588	0.9588	0.9588	0.9588
91	09:22:16	3	0.0005	0.3239267544757261	0.9664	0.9664	0.9664	0.9664	0.7734450697898865	0.8274	0.8274	0.8274	0.8274	0.12072568386793137	0.9588	0.9588	0.9588	0.9588
92	09:22:19	4	0.0005	0.30989993015019934	0.9664	0.9664	0.9664	0.9664	0.7734374403953552	0.8274	0.8274	0.8274	0.8274	0.12069801241159439	0.9588	0.9588	0.9588	0.9588
93	09:22:22	1	0.0002	0.3200740596971099	0.9664	0.9664	0.9664	0.9664	0.7734628319740295	0.8274	0.8274	0.8274	0.8274	0.12071350961923599	0.9588	0.9588	0.9588	0.9588
94	09:22:25	2	0.0002	0.3166422155289009	0.9664	0.9664	0.9664	0.9664	0.7735224366188049	0.8274	0.8274	0.8274	0.8274	0.12073203921318054	0.9588	0.9588	0.9588	0.9588
95	09:22:28	3	0.0002	0.34644363855175114	0.9664	0.9664	0.9664	0.9664	0.7735242247581482	0.8274	0.8274	0.8274	0.8274	0.12069139629602432	0.9588	0.9588	0.9588	0.9588
96	09:22:32	4	0.0002	0.3371250578374146	0.9664	0.9664	0.9664	0.9664	0.77358478307724	0.8274	0.8274	0.8274	0.8274	0.12058931589126587	0.9588	0.9588	0.9588	0.9588
97	09:22:35	1	0.0001	0.3417547760357346	0.9664	0.9664	0.9664	0.9664	0.7735419273376465	0.8274	0.8274	0.8274	0.8274	0.12059170007705688	0.9588	0.9588	0.9588	0.9588
98	09:22:38	2	0.0001	0.3236786097220245	0.9664	0.9664	0.9664	0.9664	0.7735609412193298	0.8274	0.8274	0.8274	0.8274	0.12054046243429184	0.9588	0.9588	0.9588	0.9588
99	09:22:41	3	0.0001	0.3247973465973804	0.9664	0.9664	0.9664	0.9664	0.7735582590103149	0.8274	0.8274	0.8274	0.8274	0.12051808834075928	0.9588	0.9588	0.9588	0.9588
100	09:22:44	4	0.0001	0.33291644050754554	0.9667	0.9667	0.9667	0.9667	0.7735481262207031	0.8274	0.8274	0.8274	0.8274	0.12050987780094147	0.9588	0.9588	0.9588	0.9588
