EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
65	21:40:02	2	0.2500	0.21781745296124294	0.9905	0.9905	0.9905	0.9905	0.7634446620941162	0.8359	0.8359	0.8359	0.8359
66	21:40:03	3	0.2500	0.22119005502421396	0.9947	0.9947	0.9947	0.9947	0.6508447527885437	0.8564	0.8564	0.8564	0.8564
67	21:40:05	0	0.2500	0.19126097885325896	0.9942	0.9942	0.9942	0.9942	0.688570499420166	0.8615	0.8615	0.8615	0.8615
68	21:40:10	1	0.2500	0.20365054058231277	0.9947	0.9947	0.9947	0.9947	0.6683394908905029	0.8513	0.8513	0.8513	0.8513
69	21:40:12	2	0.2500	0.21089739446869113	0.9947	0.9947	0.9947	0.9947	0.6199402213096619	0.8667	0.8667	0.8667	0.8667
70	21:40:13	3	0.2500	0.2038378434758449	0.9936	0.9936	0.9936	0.9936	0.7360063195228577	0.841	0.841	0.841	0.841
71	21:40:15	4	0.2500	0.19563630544740637	0.9958	0.9958	0.9958	0.9958	0.6799920797348022	0.841	0.841	0.841	0.841
72	21:40:19	0	0.1250	0.18654402213112342	0.9942	0.9942	0.9942	0.9942	0.6267932057380676	0.8513	0.8513	0.8513	0.8513
73	21:40:24	0	0.1250	0.17348865108337258	0.9958	0.9958	0.9958	0.9958	0.6652093529701233	0.8513	0.8513	0.8513	0.8513
74	21:40:29	1	0.1250	0.19054448419284326	0.9958	0.9958	0.9958	0.9958	0.6309723258018494	0.8462	0.8462	0.8462	0.8462
75	21:40:31	0	0.1250	0.16816542522557995	0.9952	0.9952	0.9952	0.9952	0.6423895955085754	0.8513	0.8513	0.8513	0.8513
76	21:40:36	0	0.1250	0.16815222921205253	0.9958	0.9958	0.9958	0.9958	0.7178148031234741	0.8615	0.8615	0.8615	0.8615
77	21:40:41	0	0.1250	0.16426854755762776	0.9963	0.9963	0.9963	0.9963	0.6930518746376038	0.8513	0.8513	0.8513	0.8513
78	21:40:46	1	0.1250	0.17286380978052873	0.9968	0.9968	0.9968	0.9968	0.7280478477478027	0.8462	0.8462	0.8462	0.8462
79	21:40:48	2	0.1250	0.16508284796536446	0.9979	0.9979	0.9979	0.9979	0.6833608746528625	0.8564	0.8564	0.8564	0.8564
80	21:40:49	0	0.1250	0.14499167299921986	0.9963	0.9963	0.9963	0.9963	0.7669540047645569	0.8513	0.8513	0.8513	0.8513
81	21:40:54	1	0.1250	0.1462498654524111	0.9968	0.9968	0.9968	0.9968	0.6971412301063538	0.8513	0.8513	0.8513	0.8513
82	21:40:55	2	0.1250	0.15169142418967851	0.9979	0.9979	0.9979	0.9979	0.6804324388504028	0.8462	0.8462	0.8462	0.8462
83	21:40:57	3	0.1250	0.17517656208600743	0.9968	0.9968	0.9968	0.9968	0.7016482949256897	0.8667	0.8667	0.8667	0.8667
84	21:40:58	4	0.1250	0.16538759250434232	0.9968	0.9968	0.9968	0.9968	0.666292667388916	0.8513	0.8513	0.8513	0.8513
85	21:41:02	1	0.0625	0.15104507827219738	0.9973	0.9973	0.9973	0.9973	0.7251773476600647	0.8564	0.8564	0.8564	0.8564
86	21:41:03	2	0.0625	0.1461066642685763	0.9973	0.9973	0.9973	0.9973	0.6761859655380249	0.8513	0.8513	0.8513	0.8513
87	21:41:05	3	0.0625	0.14967786777260952	0.9979	0.9979	0.9979	0.9979	0.6689659953117371	0.841	0.841	0.841	0.841
88	21:41:06	4	0.0625	0.14863270900185468	0.9979	0.9979	0.9979	0.9979	0.710721492767334	0.8462	0.8462	0.8462	0.8462
89	21:41:10	1	0.0312	0.14840938300385656	0.9968	0.9968	0.9968	0.9968	0.7250555753707886	0.8513	0.8513	0.8513	0.8513
90	21:41:12	2	0.0312	0.14644173951402792	0.9973	0.9973	0.9973	0.9973	0.6764786243438721	0.8564	0.8564	0.8564	0.8564
91	21:41:13	0	0.0312	0.1376202188456783	0.9979	0.9979	0.9979	0.9979	0.6699398756027222	0.8564	0.8564	0.8564	0.8564
92	21:41:22	1	0.0312	0.1549022241521432	0.9973	0.9973	0.9973	0.9973	0.6595290899276733	0.8564	0.8564	0.8564	0.8564
93	21:41:23	2	0.0312	0.1617571650616021	0.9973	0.9973	0.9973	0.9973	0.6698051691055298	0.8615	0.8615	0.8615	0.8615
94	21:41:24	0	0.0312	0.11792380305544925	0.9968	0.9968	0.9968	0.9968	0.6879056692123413	0.8564	0.8564	0.8564	0.8564
95	21:41:30	1	0.0312	0.14464659293305465	0.9968	0.9968	0.9968	0.9968	0.6954072713851929	0.8615	0.8615	0.8615	0.8615
