TEST: valid loss  4.42 | valid ppl    83.20
TEST: valid loss  3.33 | valid ppl    27.83
| end of split   1 /  1 | epoch 164 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 165 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 166 | time:  0.63s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 167 | time:  0.54s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 168 | time:  0.53s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 169 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 170 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 171 | time:  0.51s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 172 | time:  0.54s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 173 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 174 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 175 | time:  0.51s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 176 | time:  0.55s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 177 | time:  0.53s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 178 | time:  0.51s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 179 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 180 | time:  0.58s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 181 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 182 | time:  0.62s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 183 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 184 | time:  0.55s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 185 | time:  0.53s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 186 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 187 | time:  0.59s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 188 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 189 | time:  0.58s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 190 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 191 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 192 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 193 | time:  0.53s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 194 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 195 | time:  0.53s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 196 | time:  0.64s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 197 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 198 | time:  0.61s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 199 | time:  0.52s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 200 | time:  0.54s | valid loss  2.16 | valid ppl     8.69 | learning rate 0.0000
TEST: valid loss  1.90 | valid ppl     6.72
